Order ID,Order Date,Customer ID,Customer Name,Segment,Country,City,State,Product ID,Category,Sub-Category,Product Name,Quantity
CA-2013-101343,18-07-2013,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",2
CA-2014-163405,22-12-2014,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,OFF-AR-10003811,Office Supplies,Art,Newell 327,3
CA-2014-163405,22-12-2014,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,OFF-AR-10001246,Office Supplies,Art,Newell 317,2
US-2013-115819,20-04-2013,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-AR-10000823,Office Supplies,Art,Newell 307,3
US-2013-115819,20-04-2013,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,5
US-2013-115819,20-04-2013,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",4
US-2013-116729,26-12-2013,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,7
CA-2011-106439,31-10-2011,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,OFF-FA-10002975,Office Supplies,Fasteners,Staples,3
CA-2011-106439,31-10-2011,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,OFF-ST-10003996,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",5
CA-2011-106439,31-10-2011,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,13
CA-2011-106439,31-10-2011,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,4
CA-2011-106439,31-10-2011,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,OFF-AR-10001419,Office Supplies,Art,Newell 325,3
CA-2013-118913,26-06-2013,AS-10240,Alan Shonely,Consumer,United States,Los Angeles,California,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,3
CA-2011-113579,13-12-2011,KD-16345,Katherine Ducich,Consumer,United States,Los Angeles,California,OFF-PA-10001457,Office Supplies,Paper,White GlueTop Scratch Pads,6
CA-2014-126242,20-11-2014,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",9
CA-2011-110849,18-04-2011,JL-15835,John Lee,Consumer,United States,Los Angeles,California,OFF-AR-10002375,Office Supplies,Art,Newell 351,4
CA-2011-110849,18-04-2011,JL-15835,John Lee,Consumer,United States,Los Angeles,California,OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",5
CA-2011-110849,18-04-2011,JL-15835,John Lee,Consumer,United States,Los Angeles,California,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",2
CA-2013-130029,04-07-2013,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,2
